,"county, state",County Lat/long,SIP Order Date
455,"Carroll County, New Hampshire","43.8778199, -71.2740836",3/26/2020
456,"Hunterdon County, New Jersey","40.5770634, -74.9261552",3/21/2020
457,"Somerset County, New Jersey","40.5675084, -74.6189556",3/21/2020
458,"Allegany County, New York","42.2446061, -78.0419281",3/20/2020
459,"Onondaga County, New York","43.015598, -76.2257127",3/20/2020
460,"Ontario County, New York","42.8580624, -77.295025",3/20/2020
461,"Durham County, North Carolina","36.0181316, -78.8751582",3/27/2020
462,"Geauga County, Ohio","41.4768249, -81.1850459",3/22/2020
463,"Canadian County, Oklahoma","35.5438102, -98.0031532",4/1/2020
464,"Benton County, Oregon","44.494937, -123.4065679",3/23/2020
465,"Fairfield County, South Carolina","34.4091797, -81.1131228",4/6/2020
466,"Sevier County, Tennessee","35.8047065, -83.5291901",3/30/2020
467,"Bowie County, Texas","33.4198886, -94.4479626",3/31/2020
468,"Matagorda County, Texas","28.8879823, -96.0035095",3/31/2020
469,"Tooele County, Utah","40.4062872, -113.1966394",3/27/2020
470,"Wasatch County, Utah","40.3348338, -111.1186992",3/27/2020
471,"Orange County, Vermont","43.9950352, -72.3763533",3/24/2020
472,"Stafford County, Virginia","38.4167265, -77.4579783",3/30/2020
473,"York County, Virginia","37.2230374, -76.5156945",3/30/2020
474,"Outagamie County, Wisconsin","44.41603, -88.4602005",3/24/2020
475,"Wood County, Wisconsin","44.4517617, -90.0199618",3/24/2020
476,"Madison County, Alabama","34.7736807, -86.5675095",4/3/2020
477,"St. Clair County, Alabama","33.7086407, -86.3364",4/3/2020
478,"Ketchikan Gateway Borough County, Alaska","55.489748, -131.011963",3/27/2020
479,"Navajo County, Arizona","35.1819775, -110.3549451",3/30/2020
480,"Kern County, California","35.3145701, -118.7538222",3/19/2020
481,"Monterey County, California","36.2231079, -121.3877428",3/19/2020
482,"Sussex County, Delaware","38.6908097, -75.3691421",3/22/2020
483,"Brevard County, Florida","28.2446658, -80.728624",4/1/2020
484,"Polk County, Florida","27.9448537, -81.7268789",4/1/2020
485,"Richmond County, Georgia","33.385076, -82.09207958530698",4/2/2020
486,"Whitfield County, Georgia","34.7969288, -84.9745026",4/2/2020
487,"Hawaii County, Hawaii","19.58955475, -155.44869830348483",3/23/2020
488,"Madison County, Idaho","43.7740801, -111.6304151",3/25/2020
489,"Franklin County, Indiana","39.4149034, -85.0563234",3/23/2020
490,"Lake County, Indiana","41.4193829, -87.3692227",3/23/2020
491,"Adair County, Iowa","41.3127814, -94.4953303",0/0/0
492,"Black Hawk County, Iowa","42.4607526, -92.3030235",0/0/0
493,"Douglas County, Kansas","38.8838392, -95.2874559",3/28/2020
494,"Ford County, Kansas","37.7072469, -99.8943146",3/28/2020
495,"Lyon County, Kentucky","36.9981232, -88.0658149",3/22/2020
496,"East Baton Rouge County, Louisiana","30.5254797, -91.0899217",3/22/2020
497,"Washington County, Louisiana","36.065285700000004, -94.1465514758216",3/22/2020
498,"Kennebec County, Maine","44.4184616, -69.8250659",3/31/2020
499,"Oxford County, Maine","44.4694529, -70.7782375",3/31/2020
500,"York County, Maine","43.4229305, -70.6546639",3/31/2020
501,"Jackson County, Michigan","42.2416466, -84.425589",3/23/2020
502,"Otsego County, Michigan","45.0244123, -84.6136788",3/23/2020
503,"Martin County, Minnesota","43.6564337, -94.5498419",3/25/2020
504,"Nicollet County, Minnesota","44.3380412, -94.2362169",3/25/2020
505,"Harrison County, Mississippi","30.4553392, -89.1313136",4/1/2020
506,"Jackson County, Mississippi","30.4899024, -88.6486325",4/1/2020
507,"Boone County, Missouri","39.0153926, -92.3307534",4/3/2020
508,"Cole County, Missouri","38.5189519, -92.2956433",4/3/2020
509,"Jackson County, Missouri","39.03551565, -94.35827593325297",4/3/2020
510,"Knox County, Nebraska","42.6206698, -97.8901445",0/0/0
511,"Sarpy County, Nebraska","41.1193462, -96.093081",0/0/0
512,"Gloucester County, New Jersey","39.7267303, -75.1535378",3/21/2020
513,"Warren County, New Jersey","40.8602222, -74.9720493",3/21/2020
514,"Taos County, New Mexico","36.4925795, -105.6812782",3/23/2020
515,"Clinton County, New York","44.7278943, -73.6686982",3/20/2020
516,"Rensselaer County, New York","42.7091389, -73.5107732",3/20/2020
517,"Sullivan County, New York","41.7156311, -74.7804323",3/20/2020
518,"Wyoming County, New York","42.7039813, -78.2415228",3/20/2020
519,"Iredell County, North Carolina","35.8101636, -80.8805593",3/27/2020
520,"Sampson County, North Carolina","35.0078434, -78.3609662",3/27/2020
521,"Burleigh County, North Dakota","46.9498874, -100.5127667",0/0/0
522,"Cass County, North Dakota","46.9241972, -97.220631",0/0/0
523,"Coshocton County, Ohio","40.2905684, -81.9271441",3/22/2020
524,"Darke County, Ohio","40.168765, -84.631372",3/22/2020
525,"Lake County, Ohio","41.7064789, -81.2380032",3/22/2020
526,"Mahoning County, Ohio","40.9830133, -80.7826416",3/22/2020
527,"Pawnee County, Oklahoma","36.3151645, -96.7200995",4/1/2020
528,"Lane County, Oregon","43.9314567, -122.8575849",3/23/2020
529,"Beaver County, Pennsylvania","40.6916624, -80.3709999",4/1/2020
530,"Calhoun County, South Carolina","33.6567769, -80.7603948",4/6/2020
531,"Richland County, South Carolina","34.0190006, -80.9176832",4/6/2020
532,"York County, South Carolina","34.9603293, -81.1655408",4/6/2020
533,"Brazos County, Texas","30.65215735, -96.38111441360186",3/31/2020
534,"Ellis County, Texas","32.3347829, -96.7920233",3/31/2020
535,"Lubbock County, Texas","33.5831241, -101.818598",3/31/2020
536,"Goochland County, Virginia","37.7204342, -77.8837984",3/30/2020
537,"Henrico County, Virginia","37.5455191, -77.4234124",3/30/2020
538,"Charlottesville city County, Virginia","38.029306, -78.4766781",3/30/2020
539,"Williamsburg city County, Virginia","37.2815351, -76.6884676",3/30/2020
540,"Franklin County, Washington","46.5654696, -118.8935483",3/23/2020
541,"Mason County, Washington","47.3429635, -123.1822758",3/23/2020
542,"Jefferson County, West Virginia","39.2954767, -77.8782587",3/23/2020
543,"Kenosha County, Wisconsin","42.5729233, -88.0679837",3/24/2020
544,"Laramie County, Wyoming","41.2737321, -104.7268231",0/0/0
545,"Park County, Wyoming","44.6076072, -109.5678484",0/0/0
546,"Calhoun County, Alabama","33.7514505, -85.8315666",4/3/2020
547,"Talladega County, Alabama","33.3967079, -86.1597137",4/3/2020
548,"Kenai Peninsula Borough County, Alaska","60.0968272, -151.788033",3/27/2020
549,"Coconino County, Arizona","35.9363252, -111.6948197",3/30/2020
550,"Bradley County, Arkansas","33.4494147, -92.16876",0/0/0
551,"Faulkner County, Arkansas","35.1470851, -92.3219053",0/0/0
552,"Washington County, Arkansas","35.9672625, -94.2280656",0/0/0
553,"Mendocino County, California","39.3176491, -123.4126399",3/19/2020
554,"Yuma County, Colorado","40.0163487, -102.458253",3/25/2020
555,"Middlesex County, Connecticut","41.4510811, -72.5528113",3/20/2020
556,"Kent County, Delaware","39.1156908, -75.4841394",3/22/2020
557,"Leon County, Florida","30.4683062, -84.2549068",4/1/2020
558,"Sumter County, Florida","28.6689748, -82.076402",4/1/2020
559,"Walton County, Florida","30.6204939, -86.1912678",4/1/2020
560,"Columbia County, Georgia","33.5313102, -82.2563979",4/2/2020
561,"Houston County, Georgia","32.4659752, -83.631394",4/2/2020
562,"Twin Falls County, Idaho","42.2728777, -114.6971949",3/25/2020
563,"Jackson County, Illinois","37.7668943, -89.3563845",3/20/2020
564,"Kankakee County, Illinois","41.1253903, -87.848682",3/20/2020
565,"Kendall County, Illinois","41.5853584, -88.4319488",3/20/2020
566,"LaSalle County, Illinois","41.3474892, -88.9011861",3/20/2020
567,"Madison County, Illinois","38.887663, -90.1589413",3/20/2020
568,"Washington County, Illinois","38.3662806, -89.4201902",3/20/2020
569,"Williamson County, Illinois","37.7248502, -88.9143385",3/20/2020
570,"Clark County, Indiana","38.4941217, -85.7169081",3/23/2020
571,"Fayette County, Indiana","39.619235, -85.179378",3/23/2020
572,"Jennings County, Indiana","38.9957749, -85.6359201",3/23/2020
573,"Madison County, Indiana","40.1624531, -85.7260804",3/23/2020
574,"Washington County, Iowa","41.3160082, -91.7340327",0/0/0
575,"Winneshiek County, Iowa","43.2677179, -91.8563139",0/0/0
576,"Leavenworth County, Kansas","39.2147095, -95.0620347",3/28/2020
577,"Franklin County, Kentucky","38.2520423, -84.8633812",3/22/2020
578,"Kenton County, Kentucky","38.9252546, -84.5331967",3/22/2020
579,"Warren County, Kentucky","36.9812407, -86.4233533",3/22/2020
580,"Unknown County, Louisiana","39.6891821, -104.5154266",3/22/2020
581,"Penobscot County, Maine","45.2930166, -68.5957766",3/31/2020
582,"Franklin County, Massachusetts","42.5896205, -72.6110645",3/23/2020
583,"Rice County, Minnesota","44.3413376, -93.2865484",3/25/2020
584,"Bolivar County, Mississippi","33.7702263, -90.8519798",4/1/2020
585,"Coahoma County, Mississippi","34.1931314, -90.5653906",4/1/2020
586,"DeSoto County, Mississippi","34.8703284, -89.9778704",4/1/2020
587,"Madison County, Mississippi","32.6308679, -90.0040817",4/1/2020
588,"Perry County, Mississippi","31.153317, -88.9830577",4/1/2020
589,"St. Charles County, Missouri","38.7877791, -90.6747372",4/3/2020
590,"St. Louis city County, Missouri","38.6529545, -90.24111656024635",4/3/2020
591,"Adams County, Nebraska","40.5125798, -98.5148588",0/0/0
592,"Lincoln County, Nebraska","41.0245579, -100.7366742",0/0/0
593,"Belknap County, New Hampshire","43.5218848, -71.4530581",3/26/2020
594,"Merrimack County, New Hampshire","43.3260376, -71.6854725",3/26/2020
595,"Atlantic County, New Jersey","39.5143268, -74.6632883",3/21/2020
596,"Chenango County, New York","42.4784565, -75.6130279",3/20/2020
597,"Essex County, New York","44.0638879, -73.7542043",3/20/2020
598,"Hamilton County, New York","43.6307863, -74.4659275",3/20/2020
599,"Jefferson County, New York","44.059311, -75.9995742",3/20/2020
600,"Livingston County, New York","42.7360902, -77.7781416",3/20/2020
601,"Warren County, New York","43.5018687, -73.8164637",3/20/2020
602,"Washington County, New York","43.2294536, -73.4471343",3/20/2020
603,"Gaston County, North Carolina","35.2849659, -81.179014",3/27/2020
604,"Guilford County, North Carolina","36.0875688, -79.7888515",3/27/2020
605,"Hoke County, North Carolina","35.0271856, -79.2432785",3/27/2020
606,"Lincoln County, North Carolina","35.4866424, -81.2062724",3/27/2020
607,"Moore County, North Carolina","35.3054614, -79.4761236",3/27/2020
608,"New Hanover County, North Carolina","34.2751052, -77.8818627",3/27/2020
609,"Morton County, North Dakota","46.7244733, -101.1644543",0/0/0
610,"Ashland County, Ohio","40.7887367, -82.2360391",3/22/2020
611,"Clark County, Ohio","39.9229676, -83.7905959",3/22/2020
612,"Delaware County, Ohio","40.2317686, -82.9651045",3/22/2020
613,"Huron County, Ohio","41.1305303, -82.591828",3/22/2020
614,"Miami County, Ohio","40.0580258, -84.2236524",3/22/2020
615,"Adams County, Pennsylvania","39.8708972, -77.2395963",4/1/2020
616,"Berks County, Pennsylvania","40.4113762, -75.9433305",4/1/2020
617,"Lackawanna County, Pennsylvania","41.4406084, -75.6260271",4/1/2020
618,"York County, Pennsylvania","39.962398, -76.727392",4/1/2020
619,"Lee County, South Carolina","34.1619217, -80.2539608",4/6/2020
620,"Cheatham County, Tennessee","36.2444954, -87.0967857",3/30/2020
621,"Robertson County, Tennessee","36.4996336, -86.8519164",3/30/2020
622,"Sumner County, Tennessee","36.4496718, -86.4685413",3/30/2020
623,"Lavaca County, Texas","29.3703333, -96.9334531",3/31/2020
624,"McLennan County, Texas","31.5487691, -97.2189254",3/31/2020
625,"Medina County, Texas","29.2836281, -99.1126826",3/31/2020
626,"Rusk County, Texas","32.051377, -94.7906553",3/31/2020
627,"Webb County, Texas","27.6983621, -99.2523577",3/31/2020
628,"Wichita County, Texas","33.9516534, -98.7088886",3/31/2020
629,"Williamson County, Texas","30.6580927, -97.6041649",3/31/2020
630,"Box Elder County, Utah","41.3586056, -113.2112072",3/27/2020
631,"Cache County, Utah","41.7042978, -111.7451159",3/27/2020
632,"Charles City County, Virginia","37.3705777, -77.0605098",3/30/2020
633,"Richmond city County, Virginia","37.5289588, -77.4381069",3/30/2020
634,"Benton County, Washington","46.1691702, -119.5286424",3/23/2020
635,"Mercer County, West Virginia","37.4071873, -81.1107194",3/23/2020
636,"Brown County, Wisconsin","44.4383498, -88.0167093",3/24/2020
637,"La Crosse County, Wisconsin","43.8890516, -91.0902393",3/24/2020
638,"Washington County, Wisconsin","43.3734986, -88.2370888",3/24/2020
639,"Teton County, Wyoming","43.9133416, -110.6367905",0/0/0
640,"Chambers County, Alabama","32.8901658, -85.3866953",4/3/2020
641,"Mobile County, Alabama","30.6488242, -88.194642",4/3/2020
642,"Walker County, Alabama","33.7804491, -87.2767248",4/3/2020
643,"Santa Cruz County, Arizona","31.5094579, -110.8476281",3/30/2020
644,"Yavapai County, Arizona","34.5668857, -112.5515965",3/30/2020
645,"Benton County, Arkansas","36.3456186, -94.2670404",0/0/0
646,"Boone County, Arkansas","36.2829183, -93.0784759",0/0/0
647,"Clark County, Arkansas","34.0541966, -93.198963",0/0/0
648,"Craighead County, Arkansas","35.8348413, -90.6441144",0/0/0
649,"Crittenden County, Arkansas","35.2505701, -90.3192299",0/0/0
650,"Grant County, Arkansas","34.2773864, -92.420578",0/0/0
651,"Greene County, Arkansas","36.091803, -90.5778883",0/0/0
652,"Independence County, Arkansas","35.718344, -91.55326",0/0/0
653,"Poinsett County, Arkansas","35.5730183, -90.6717121",0/0/0
654,"Polk County, Arkansas","34.4995799, -94.2397116",0/0/0
655,"Pope County, Arkansas","35.453867, -93.0498623",0/0/0
656,"Searcy County, Arkansas","35.9018987, -92.7098744",0/0/0
657,"Sebastian County, Arkansas","35.1770785, -94.2654285",0/0/0
658,"Sevier County, Arkansas","33.9867858, -94.243888",0/0/0
659,"Van Buren County, Arkansas","35.5759086, -92.4916144",0/0/0
660,"Crowley County, Colorado","38.3394806, -103.8263042",3/25/2020
661,"Grand County, Colorado","40.0990074, -106.1366966",3/25/2020
662,"Morgan County, Colorado","40.2407621, -103.8225695",3/25/2020
663,"Tolland County, Connecticut","41.818446, -72.3562252",3/20/2020
664,"Windham County, Connecticut","41.8208345, -72.0051201",3/20/2020
665,"Hernando County, Florida","28.5710156, -82.4605068",4/1/2020
666,"Indian River County, Florida","27.7041555, -80.5894422",4/1/2020
667,"Jackson County, Florida","30.8013861, -85.2063186",4/1/2020
668,"Martin County, Florida","27.0673711, -80.3994412",4/1/2020
669,"Bibb County, Georgia","32.8095879, -83.694562",4/2/2020
670,"Early County, Georgia","31.3466656, -84.9350894",4/2/2020
671,"Effingham County, Georgia","32.3419626, -81.338687",4/2/2020
672,"Glynn County, Georgia","31.2171726, -81.5012681",4/2/2020
673,"Laurens County, Georgia","32.4239975, -82.9388938",4/2/2020
674,"Peach County, Georgia","32.5543462, -83.8350733",4/2/2020
675,"Rockdale County, Georgia","33.6430283, -84.0322064",4/2/2020
676,"Owen County, Indiana","39.2984518, -86.8508562",3/23/2020
677,"Tippecanoe County, Indiana","40.3916066, -86.8879689",3/23/2020
678,"Wayne County, Indiana","39.8638778, -85.0198586",3/23/2020
679,"Dubuque County, Iowa","42.4692988, -90.8742047",0/0/0
680,"Muscatine County, Iowa","41.4776121, -91.1210053",0/0/0
681,"Cherokee County, Kansas","37.1718068, -94.8482069",3/28/2020
682,"Linn County, Kansas","38.1965927, -94.8578272",3/28/2020
683,"Morris County, Kansas","38.6908906, -96.6707526",3/28/2020
684,"Sedgwick County, Kansas","37.6448148, -97.4641388",3/28/2020
685,"Unknown County, Kentucky","38.0286959, -84.5104217",3/22/2020
686,"Christian County, Kentucky","36.8778665, -87.5014545",3/22/2020
687,"Daviess County, Kentucky","37.6877924, -87.0818357",3/22/2020
688,"Henderson County, Kentucky","37.76721, -87.5573742",3/22/2020
689,"Pulaski County, Kentucky","37.1124781, -84.593893",3/22/2020
690,"Scott County, Kentucky","38.2776401, -84.5816131",3/22/2020
691,"Assumption County, Louisiana","29.9185432, -91.0533996",3/22/2020
692,"Calcasieu County, Louisiana","30.2232015, -93.3434067",3/22/2020
693,"Iberia County, Louisiana","29.9812242, -91.7451362",3/22/2020
694,"Iberville County, Louisiana","30.2120844, -91.3133623",3/22/2020
695,"Lafayette County, Louisiana","30.2240897, -92.0198427",3/22/2020
696,"Livingston County, Louisiana","30.4158699, -90.7189344",3/22/2020
697,"Plaquemines County, Louisiana","29.4291161, -89.5123524",3/22/2020
698,"St. James County, Louisiana","30.0096684, -90.7989525",3/22/2020
699,"St. Landry County, Louisiana","30.6174002, -92.0035057",3/22/2020
700,"Webster County, Louisiana","32.6358137, -93.3285187",3/22/2020
701,"West Baton Rouge County, Louisiana","30.4514623, -91.3261882",3/22/2020
702,"Calvert County, Maryland","38.5288529, -76.537764",3/30/2020
703,"Wicomico County, Maryland","38.3888688, -75.635738",3/30/2020
704,"Hampshire County, Massachusetts","42.3432499, -72.6213339",3/23/2020
705,"Clinton County, Michigan","42.9435238, -84.6125345",3/23/2020
706,"Eaton County, Michigan","42.5935964, -84.8443666",3/23/2020
707,"Genesee County, Michigan","43.0220032, -83.7274305",3/23/2020
708,"Livingston County, Michigan","42.5924563, -83.9147925",3/23/2020
709,"Midland County, Michigan","43.634525, -84.3840821",3/23/2020
710,"Mower County, Minnesota","43.6832277, -92.753704",3/25/2020
711,"Scott County, Minnesota","44.6506998, -93.5025726",3/25/2020
712,"Holmes County, Mississippi","33.1018124, -90.0656168",4/1/2020
713,"Jones County, Mississippi","31.6058959, -89.1636245",4/1/2020
714,"Scott County, Mississippi","32.3805744, -89.5092509",4/1/2020
715,"Walthall County, Mississippi","31.1241919, -90.1197687",4/1/2020
716,"Wilkinson County, Mississippi","31.1371924, -91.3329359",4/1/2020
717,"Winston County, Mississippi","33.0603103, -89.0495278",4/1/2020
718,"Yazoo County, Mississippi","32.7709321, -90.4120889",4/1/2020
719,"Broadwater County, Montana","46.3252827, -111.4969303",3/26/2020
720,"Flathead County, Montana","48.3840879, -113.972144",3/26/2020
721,"Madison County, Montana","45.2963203, -111.8930287",3/26/2020
722,"Roosevelt County, Montana","48.3069516, -104.9709901",3/26/2020
723,"Nemaha County, Nebraska","40.3837713, -95.8518344",0/0/0
724,"Unknown County, Nevada","40.536012, -105.115804",0/0/0
725,"Elko County, Nevada","41.1958128, -115.3272864",0/0/0
726,"Cape May County, New Jersey","39.1765386, -74.8012119",3/21/2020
727,"Sussex County, New Jersey","41.133372, -74.6930393",3/21/2020
728,"San Miguel County, New Mexico","35.470043, -104.7946178",3/23/2020
729,"Schoharie County, New York","42.5757217, -74.4390277",3/20/2020
730,"Wayne County, New York","43.1500557, -77.0377603",3/20/2020
731,"Hamilton County, Ohio","39.2085354, -84.5501874",3/22/2020
732,"Montgomery County, Ohio","39.6837328, -84.2854817",3/22/2020
733,"Richland County, Ohio","40.776322, -82.5302254",3/22/2020
734,"Custer County, Oklahoma","35.6286063, -99.0092034",4/1/2020
735,"Grady County, Oklahoma","35.0507761, -97.8849251",4/1/2020
736,"Logan County, Oklahoma","35.8879493, -97.4621935",4/1/2020
737,"McClain County, Oklahoma","34.9756991, -97.481167",4/1/2020
738,"Washington County, Oklahoma","36.6930592, -95.9078261",4/1/2020
739,"Lancaster County, Pennsylvania","40.08067, -76.2411283",4/1/2020
740,"Lebanon County, Pennsylvania","40.375713, -76.4626118",4/1/2020
741,"Westmoreland County, Pennsylvania","40.2930159, -79.4873204",4/1/2020
742,"Abbeville County, South Carolina","34.2264946, -82.4364036",4/6/2020
743,"Dorchester County, South Carolina","33.0756291, -80.3431133",4/6/2020
744,"Saluda County, South Carolina","34.009279, -81.74198231575845",4/6/2020
745,"Unknown County, Tennessee","38.299542349999996, -103.91987998978209",3/30/2020
746,"Cumberland County, Tennessee","35.953805, -84.9748195",3/30/2020
747,"Dyer County, Tennessee","36.0526084, -89.4171552",3/30/2020
748,"Montgomery County, Tennessee","36.4803824, -87.3786221",3/30/2020
749,"Washington County, Tennessee","36.2636501, -82.4911791",3/30/2020
750,"Wilson County, Tennessee","36.1466658, -86.3119998",3/30/2020
751,"Cameron County, Texas","26.1291189, -97.4134281",3/31/2020
752,"Crane County, Texas","31.4486118, -102.5163544",3/31/2020
753,"DeWitt County, Texas","29.0931328, -97.3158457",3/31/2020
754,"Johnson County, Texas","32.3766071, -97.3568623",3/31/2020
755,"Van Zandt County, Texas","32.5375642, -95.8292165",3/31/2020
756,"Clallam County, Washington","47.9998383, -123.7373472",3/23/2020
757,"Monongalia County, West Virginia","39.6391074, -80.0300399",3/23/2020
758,"Tucker County, West Virginia","39.1256758, -79.5607117",3/23/2020
